COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
nameOfIssuer	titleOfClass	cusip	value (x$1000)	sshPrnamt	sshPrnamtType	putCall	investmentDiscretion	otherManager	Sole	Shared	None
22ND CENTY GROUP INC	COM	90137F103	26	12310	SH		SOLE		12310	0	0
3-D SYS CORP DEL	COM NEW	88554D205	136	14915	SH		SOLE		14915	0	0
3M CO	COM	88579Y101	101921	587981	SH		SOLE		587981	0	0
8X8 INC NEW	COM	282914100	307	12722	SH		SOLE		12722	0	0
AAON INC	COM PAR $0.004	000360206	278	5536	SH		SOLE		5536	0	0
AARONS INC	COM PAR $0.50	002535300	28516	464349	SH		SOLE		464349	0	0
ABBOTT LABS	COM	002824100	113638	1351222	SH		SOLE		1351222	0	0
ABBVIE INC	COM	00287Y109	95634	1315094	SH		SOLE		1315094	0	0
ABIOMED INC	COM	003654100	3336	12807	SH		SOLE		12807	0	0
ABM INDS INC	COM	000957100	13097	327418	SH		SOLE		327418	0	0
ABRAXAS PETE CORP	COM	003830106	17	16845	SH		SOLE		16845	0	0
AC IMMUNE SA	SHS	H00263105	109	19718	SH		SOLE		19718	0	0
ACADIA HEALTHCARE COMPANY IN	COM	00404A109	323	9251	SH		SOLE		9251	0	0
ACADIA PHARMACEUTICALS INC	COM	004225108	1518	56801	SH		SOLE		56801	0	0
ACADIA RLTY TR	COM SH BEN INT	004239109	797	29113	SH		SOLE		29113	0	0
ACCELERON PHARMA INC	COM	00434H108	821	19994	SH		SOLE		19994	0	0
ACCENTURE PLC IRELAND	SHS CLASS A	G1151C101	15379	83233	SH		SOLE		83233	0	0
ACCO BRANDS CORP	COM	00081T108	85	10779	SH		SOLE		10779	0	0
ACELRX PHARMACEUTICALS INC	COM	00444T100	58	23045	SH		SOLE		23045	0	0
ACHILLION PHARMACEUTICALS IN	COM	00448Q201	147	54889	SH		SOLE		54889	0	0
ACI WORLDWIDE INC	COM	004498101	901	26243	SH		SOLE		26243	0	0
ACLARIS THERAPEUTICS INC	COM	00461U105	35	15798	SH		SOLE		15798	0	0
ACORDA THERAPEUTICS INC	COM	00484M106	152	19856	SH		SOLE		19856	0	0
ACTIVISION BLIZZARD INC	COM	00507V109	24174	512159	SH		SOLE		512159	0	0
ACTUANT CORP	CL A NEW	00508X203	211	8512	SH		SOLE		8512	0	0
ACUITY BRANDS INC	COM	00508Y102	464	3364	SH		SOLE		3364	0	0
ADAMAS PHARMACEUTICALS INC	COM	00548A106	64	10392	SH		SOLE		10392	0	0
ADAPTIMMUNE THERAPEUTICS PLC	SPONDS ADR	00653A107	96	23863	SH		SOLE		23863	0	0
ADOBE INC	COM	00724F101	108469	368128	SH		SOLE		368128	0	0
ADTALEM GLOBAL ED INC	COM	00737L103	489	10851	SH		SOLE		10851	0	0
ADURO BIOTECH INC	COM	00739L101	46	30161	SH		SOLE		30161	0	0
ADVANCE AUTO PARTS INC	COM	00751Y106	1235	8009	SH		SOLE		8009	0	0
ADVANCED DISP SVCS INC DEL	COM	00790X101	245	7676	SH		SOLE		7676	0	0
ADVANCED ENERGY INDS	COM	007973100	291	5165	SH		SOLE		5165	0	0
ADVANCED MICRO DEVICES INC	COM	007903107	23930	787950	SH		SOLE		787950	0	0
ADVERUM BIOTECHNOLOGIES INC	COM	00773U108	289	24280	SH		SOLE		24280	0	0
AECOM	COM	00766T100	506	13378	SH		SOLE		13378	0	0
AEGLEA BIOTHERAPEUTICS INC	COM	00773J103	72	10452	SH		SOLE		10452	0	0
AERIE PHARMACEUTICALS INC	COM	00771V108	507	17171	SH		SOLE		17171	0	0
AEROJET ROCKETDYNE HLDGS INC	COM	007800105	437	9754	SH		SOLE		9754	0	0
AES CORP	COM	00130H105	2760	164692	SH		SOLE		164692	0	0
AFFILIATED MANAGERS GROUP IN	COM	008252108	1129	12254	SH		SOLE		12254	0	0
AFLAC INC	COM	001055102	104153	1900253	SH		SOLE		1900253	0	0
AGCO CORP	COM	001084102	423	5458	SH		SOLE		5458	0	0
AGILENT TECHNOLOGIES INC	COM	00846U101	5796	77626	SH		SOLE		77626	0	0
AGIOS PHARMACEUTICALS INC	COM	00847X104	917	18377	SH		SOLE		18377	0	0
AGNC INVT CORP	COM	00123Q104	1987	118108	SH		SOLE		118108	0	0
AGREE REALTY CORP	COM	008492100	298	4659	SH		SOLE		4659	0	0
AIMMUNE THERAPEUTICS INC	COM	00900T107	476	22878	SH		SOLE		22878	0	0
AIR PRODS & CHEMS INC	COM	009158106	105734	467086	SH		SOLE		467086	0	0
AK STL HLDG CORP	COM	001547108	102	43010	SH		SOLE		43010	0	0
AKAMAI TECHNOLOGIES INC	COM	00971T101	2992	37329	SH		SOLE		37329	0	0
AKCEA THERAPEUTICS INC	COM	00972L107	668	28507	SH		SOLE		28507	0	0
AKEBIA THERAPEUTICS INC	COM	00972D105	211	43495	SH		SOLE		43495	0	0
AKORN INC	COM	009728106	266	51622	SH		SOLE		51622	0	0
ALARM COM HLDGS INC	COM	011642105	232	4332	SH		SOLE		4332	0	0
ALASKA AIR GROUP INC	COM	011659109	879	13760	SH		SOLE		13760	0	0
ALBANY INTL CORP	CL A	012348108	325	3921	SH		SOLE		3921	0	0
ALBEMARLE CORP	COM	012653101	1260	17901	SH		SOLE		17901	0	0
ALCOA CORP	COM	013872106	273	11651	SH		SOLE		11651	0	0
ALDER BIOPHARMACEUTICALS INC	COM	014339105	360	30564	SH		SOLE		30564	0	0
ALEXANDER & BALDWIN INC NEW	COM	014491104	292	12622	SH		SOLE		12622	0	0
ALEXANDRIA REAL ESTATE EQ IN	COM	015271109	5203	36880	SH		SOLE		36880	0	0
ALEXION PHARMACEUTICALS INC	COM	015351109	28832	220125	SH		SOLE		220125	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	11696	69024	SH		SOLE		69024	0	0
ALIGN TECHNOLOGY INC	COM	016255101	14844	54234	SH		SOLE		54234	0	0
ALKERMES PLC	SHS	G01767105	1118	49608	SH		SOLE		49608	0	0
ALLAKOS INC	COM	01671P100	611	14099	SH		SOLE		14099	0	0
ALLEGHANY CORP DEL	COM	017175100	2014	2957	SH		SOLE		2957	0	0
ALLEGHENY TECHNOLOGIES INC	COM	01741R102	785	31165	SH		SOLE		31165	0	0
ALLEGIANT TRAVEL CO	COM	01748X102	258	1796	SH		SOLE		1796	0	0
ALLEGION PUB LTD CO	ORD SHS	G0176J109	1157	10467	SH		SOLE		10467	0	0
ALLERGAN PLC	SHS	G0177J108	6775	40463	SH		SOLE		40463	0	0
ALLETE INC	COM NEW	018522300	12535	150642	SH		SOLE		150642	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	3216	22947	SH		SOLE		22947	0	0
ALLIANT ENERGY CORP	COM	018802108	1384	28204	SH		SOLE		28204	0	0
ALLSCRIPTS HEALTHCARE SOLUTN	COM	01988P108	461	39675	SH		SOLE		39675	0	0
ALLSTATE CORP	COM	020002101	11123	109383	SH		SOLE		109383	0	0
ALLY FINL INC	COM	02005N100	1547	49909	SH		SOLE		49909	0	0
ALNYLAM PHARMACEUTICALS INC	COM	02043Q107	2423	33396	SH		SOLE		33396	0	0
ALPHABET INC	CAP STK CL A	02079K305	225728	208467	SH		SOLE		208467	0	0
ALPHABET INC	CAP STK CL C	02079K107	248483	229883	SH		SOLE		229883	0	0
ALTA MESA RES INC	CL A	02133L109	2	10557	SH		SOLE		10557	0	0
ALTERYX INC	COM CL A	02156B103	338	3101	SH		SOLE		3101	0	0
ALTRA INDL MOTION CORP	COM	02208R106	228	6360	SH		SOLE		6360	0	0
ALTRIA GROUP INC	COM	02209S103	13553	286231	SH		SOLE		286231	0	0
AMAG PHARMACEUTICALS INC	COM	00163U106	144	14450	SH		SOLE		14450	0	0
AMARIN CORP PLC	SPONS ADR NEW	023111206	1854	95621	SH		SOLE		95621	0	0
AMAZON COM INC	COM	023135106	590048	311596	SH		SOLE		311596	0	0
AMC NETWORKS INC	CL A	00164V103	209	3830	SH		SOLE		3830	0	0
AMCOR PLC	ORD	G0250X107	2076	180709	SH		SOLE		180709	0	0
AMDOCS LTD	SHS	G02602103	412	6628	SH		SOLE		6628	0	0
AMEDISYS INC	COM	023436108	625	5151	SH		SOLE		5151	0	0
AMEREN CORP	COM	023608102	4919	65490	SH		SOLE		65490	0	0
AMERICAN AIRLS GROUP INC	COM	02376R102	9547	292758	SH		SOLE		292758	0	0
AMERICAN ASSETS TR INC	COM	024013104	282	5991	SH		SOLE		5991	0	0
AMERICAN AXLE & MFG HLDGS IN	COM	024061103	193	15150	SH		SOLE		15150	0	0
AMERICAN CAMPUS CMNTYS INC	COM	024835100	1898	41118	SH		SOLE		41118	0	0
AMERICAN EAGLE OUTFITTERS IN	COM	02553E106	523	30932	SH		SOLE		30932	0	0
AMERICAN ELEC PWR CO INC	COM	025537101	8500	96576	SH		SOLE		96576	0	0
AMERICAN EQTY INVT LIFE HLD	COM	025676206	10071	370808	SH		SOLE		370808	0	0
AMERICAN EXPRESS CO	COM	025816109	37121	300723	SH		SOLE		300723	0	0
AMERICAN FINL GROUP INC OHIO	COM	025932104	1487	14511	SH		SOLE		14511	0	0
AMERICAN HOMES 4 RENT	CL A	02665T306	1392	57252	SH		SOLE		57252	0	0
AMERICAN INTL GROUP INC	COM NEW	026874784	11121	208724	SH		SOLE		208724	0	0
AMERICAN STS WTR CO	COM	029899101	371	4934	SH		SOLE		4934	0	0
AMERICAN TOWER CORP NEW	COM	03027X100	29506	144317	SH		SOLE		144317	0	0
AMERICAN WTR WKS CO INC NEW	COM	030420103	2498	21535	SH		SOLE		21535	0	0
AMERICOLD RLTY TR	COM	03064D108	542	16727	SH		SOLE		16727	0	0
AMERIPRISE FINL INC	COM	03076C106	4654	32062	SH		SOLE		32062	0	0
AMERIS BANCORP	COM	03076K108	221	5635	SH		SOLE		5635	0	0
AMERISOURCEBERGEN CORP	COM	03073E105	4043	47415	SH		SOLE		47415	0	0
AMETEK INC NEW	COM	031100100	5342	58809	SH		SOLE		58809	0	0
AMGEN INC	COM	031162100	97319	528104	SH		SOLE		528104	0	0
AMICUS THERAPEUTICS INC	COM	03152W109	1151	92209	SH		SOLE		92209	0	0
AMKOR TECHNOLOGY INC	COM	031652100	81	10840	SH		SOLE		10840	0	0
AMN HEALTHCARE SERVICES INC	COM	001744101	338	6234	SH		SOLE		6234	0	0
AMNEAL PHARMACEUTICALS INC	COM STK CL A	03168L105	80	11154	SH		SOLE		11154	0	0
AMPHASTAR PHARMACEUTICALS IN	COM	03209R103	390	18474	SH		SOLE		18474	0	0
AMPHENOL CORP NEW	CL A	032095101	3189	33243	SH		SOLE		33243	0	0
AMPIO PHARMACEUTICALS INC	COM	03209T109	4	10371	SH		SOLE		10371	0	0
AMYRIS INC	COM NEW	03236M200	118	33013	SH		SOLE		33013	0	0
ANADARKO PETE CORP	COM	032511107	5760	81632	SH		SOLE		81632	0	0
ANALOG DEVICES INC	COM	032654105	33962	300899	SH		SOLE		300899	0	0
ANAPTYSBIO INC	COM	032724106	571	10124	SH		SOLE		10124	0	0
ANDERSONS INC	COM	034164103	8499	312021	SH		SOLE		312021	0	0
ANI PHARMACEUTICALS INC	COM	00182C103	378	4598	SH		SOLE		4598	0	0
ANIXTER INTL INC	COM	035290105	245	4111	SH		SOLE		4111	0	0
ANNALY CAP MGMT INC	COM	035710409	2929	320812	SH		SOLE		320812	0	0
ANSYS INC	COM	03662Q105	2658	12979	SH		SOLE		12979	0	0
ANTARES PHARMA INC	COM	036642106	50	15295	SH		SOLE		15295	0	0
ANTERO RES CORP	COM	03674X106	68	12386	SH		SOLE		12386	0	0
ANTHEM INC	COM	036752103	9557	33864	SH		SOLE		33864	0	0
ANWORTH MORTGAGE ASSET CP	COM	037347101	39	10318	SH		SOLE		10318	0	0
AON PLC	SHS CL A	G0408V102	11102	57528	SH		SOLE		57528	0	0
APACHE CORP	COM	037411105	1839	63487	SH		SOLE		63487	0	0
APARTMENT INVT & MGMT CO	CL A	03748R754	4885	97469	SH		SOLE		97469	0	0
APELLIS PHARMACEUTICALS INC	COM	03753U106	565	22278	SH		SOLE		22278	0	0
APERGY CORP	COM	03755L104	351	10466	SH		SOLE		10466	0	0
APOLLO COML REAL EST FIN INC	COM	03762U105	341	18556	SH		SOLE		18556	0	0
APPLE HOSPITALITY REIT INC	COM NEW	03784Y200	736	46379	SH		SOLE		46379	0	0
APPLE INC	COM	037833100	638462	3225857	SH		SOLE		3225857	0	0
APPLIED INDL TECHNOLOGIES IN	COM	03820C105	328	5331	SH		SOLE		5331	0	0
APPLIED MATLS INC	COM	038222105	33048	735863	SH		SOLE		735863	0	0
APTARGROUP INC	COM	038336103	15144	121798	SH		SOLE		121798	0	0
APTINYX INC	COM	03836N103	38	11261	SH		SOLE		11261	0	0
APTIV PLC	SHS	G6095L109	2289	28313	SH		SOLE		28313	0	0
AQUA AMERICA INC	COM	03836W103	14835	358604	SH		SOLE		358604	0	0
ARATANA THERAPEUTICS INC	COM	03874P101	99	19203	SH		SOLE		19203	0	0
ARBUTUS BIOPHARMA CORP	COM	03879J100	42	20342	SH		SOLE		20342	0	0
ARCH CAP GROUP LTD	ORD	G0450A105	1875	50560	SH		SOLE		50560	0	0
ARCHER DANIELS MIDLAND CO	COM	039483102	82987	2033993	SH		SOLE		2033993	0	0
ARCHROCK INC	COM	03957W106	183	17221	SH		SOLE		17221	0	0
ARCONIC INC	COM	03965L100	2144	83020	SH		SOLE		83020	0	0
ARENA PHARMACEUTICALS INC	COM NEW	040047607	1156	19724	SH		SOLE		19724	0	0
ARGENX SE	SPONSORED ADR	04016X101	873	6163	SH		SOLE		6163	0	0
ARGO GROUP INTL HLDGS LTD	COM	G0464B107	255	3438	SH		SOLE		3438	0	0
ARISTA NETWORKS INC	COM	040413106	2157	8309	SH		SOLE		8309	0	0
ARQULE INC	COM	04269E107	478	43388	SH		SOLE		43388	0	0
ARRAY BIOPHARMA INC	COM	04269X105	4036	87108	SH		SOLE		87108	0	0
ARROW ELECTRS INC	COM	042735100	514	7209	SH		SOLE		7209	0	0
ARROWHEAD PHARMACEUTICALS IN	COM	04280A100	1068	40313	SH		SOLE		40313	0	0
ASBURY AUTOMOTIVE GROUP INC	COM	043436104	222	2637	SH		SOLE		2637	0	0
ASCENA RETAIL GROUP INC	COM	04351G101	15	24068	SH		SOLE		24068	0	0
ASCENDIS PHARMA A S	SPONSORED ADR	04351P101	1514	13152	SH		SOLE		13152	0	0
ASGN INC	COM	00191U102	595	9817	SH		SOLE		9817	0	0
ASHLAND GLOBAL HLDGS INC	COM	044186104	711	8890	SH		SOLE		8890	0	0
ASML HOLDING N V	N Y REGISTRY SHS	N07059210	8503	40893	SH		SOLE		40893	0	0
ASPEN TECHNOLOGY INC	COM	045327103	412	3313	SH		SOLE		3313	0	0
ASSERTIO THERAPEUTICS INC	COM	04545L107	93	26885	SH		SOLE		26885	0	0
ASSOCIATED BANC CORP	COM	045487105	709	33546	SH		SOLE		33546	0	0
ASSURANT INC	COM	04621X108	4096	38501	SH		SOLE		38501	0	0
ASSURED GUARANTY LTD	COM	G0585R106	537	12752	SH		SOLE		12752	0	0
AT&T INC	COM	00206R102	118049	3522807	SH		SOLE		3522807	0	0
ATARA BIOTHERAPEUTICS INC	COM	046513107	361	17961	SH		SOLE		17961	0	0
ATHENE HLDG LTD	CL A	G0684D107	673	15633	SH		SOLE		15633	0	0
ATHENEX INC	COM	04685N103	480	24222	SH		SOLE		24222	0	0
ATHERSYS INC	COM	04744L106	21	12346	SH		SOLE		12346	0	0
ATLANTIC PWR CORP	COM NEW	04878Q863	28	11498	SH		SOLE		11498	0	0
ATLANTIC UN BANKSHARES CORP	COM	04911A107	288	8163	SH		SOLE		8163	0	0
ATMOS ENERGY CORP	COM	049560105	1473	13958	SH		SOLE		13958	0	0
ATRION CORP	COM	049904105	12582	14755	SH		SOLE		14755	0	0
AUDENTES THERAPEUTICS INC	COM	05070R104	639	16877	SH		SOLE		16877	0	0
AURINIA PHARMACEUTICALS INC	COM	05156V102	177	26829	SH		SOLE		26829	0	0
AUTODESK INC	COM	052769106	28728	176352	SH		SOLE		176352	0	0
AUTOMATIC DATA PROCESSING IN	COM	053015103	132575	801881	SH		SOLE		801881	0	0
AUTONATION INC	COM	05329W102	205	4893	SH		SOLE		4893	0	0
AUTOZONE INC	COM	053332102	3009	2737	SH		SOLE		2737	0	0
