COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
nameOfIssuer	titleOfClass	cusip	value (x$1000)	sshPrnamt	sshPrnamtType	putCall	investmentDiscretion	otherManager	Sole	Shared	None
ADOBE INC	COM	00724F101	16531	56105	SH		SOLE		56105	0	0
ALCON AG (NYS)	ORD SHS	H01301128	7	120	SH		SOLE		120	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	33783	199367	SH		SOLE		199367	0	0
ALLERGAN PLC	SHS	G0177J108	64	380	SH		SOLE		380	0	0
ALPHABET INC	CAP STK CL A	02079K305	70	65	SH		SOLE		65	0	0
ALPHABET INC	CAP STK CL C	02079K107	16403	15175	SH		SOLE		15175	0	0
ALTABA INC	COM	021346101	20869	300842	SH		SOLE		300842	0	0
ALTICE USA INC	CL A	02156K103	1346	55289	SH		SOLE		55289	0	0
AMAZON COM INC	COM	023135106	36789	19428	SH		SOLE		19428	0	0
AMBEV SA	SPONSORED ADR	02319V103	31	6600	SH		SOLE		6600	0	0
AMERICAN INTL GROUP INC	COM NEW	026874784	91	1700	SH		SOLE		1700	0	0
AON PLC	SHS CL A	G0408V102	2155	11167	SH		SOLE		11167	0	0
APPLE INC	COM	037833100	18694	94451	SH		SOLE		94451	0	0
ATHENE HLDG LTD	CL A	G0684D107	2009	46666	SH		SOLE		46666	0	0
ATLANTICA YIELD PLC	SHS	G0751N103	5	207	SH		SOLE		207	0	0
AVALARA INC	COM	05338G106	52	717	SH		SOLE		717	0	0
AVANOS MED INC	COM	05350V106	2	56	SH		SOLE		56	0	0
BAIDU INC	SPON ADR REP A	056752108	10559	89971	SH		SOLE		89971	0	0
BAUSCH HEALTH COS INC	COM	071734107	17	690	SH		SOLE		690	0	0
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	1540	7224	SH		SOLE		7224	0	0
BERRY GLOBAL GROUP INC	COM	08579W103	2195	41732	SH		SOLE		41732	0	0
CHARTER COMMUNICATIONS INC N	CL A	16119P108	22030	55747	SH		SOLE		55747	0	0
CHEMOURS CO	COM	163851108	3	145	SH		SOLE		145	0	0
CHENIERE ENERGY INC	COM NEW	16411R208	96	1400	SH		SOLE		1400	0	0
COCA COLA CO	COM	191216100	64	1250	SH		SOLE		1250	0	0
COLGATE PALMOLIVE CO	COM	194162103	54	750	SH		SOLE		750	0	0
CORTEVA INC	COM	22052L104	9	309	SH		SOLE		309	0	0
CROWN HOLDINGS INC	COM	228368106	1351	22118	SH		SOLE		22118	0	0
DOW INC	COM	260557103	15	309	SH		SOLE		309	0	0
DUPONT DE NEMOURS INC	COM	26614N102	23	309	SH		SOLE		309	0	0
EBAY INC	COM	278642103	52	1325	SH		SOLE		1325	0	0
FACEBOOK INC	CL A	30303M102	18874	97792	SH		SOLE		97792	0	0
FERRARI N V	COM	N3167Y103	2271	14068	SH		SOLE		14068	0	0
GDS HLDGS LTD	SPONSORED ADS	36165L108	1334	35514	SH		SOLE		35514	0	0
GENERAL ELECTRIC CO	COM	369604103	20	1900	SH		SOLE		1900	0	0
GODADDY INC	CL A	380237107	3119	44457	SH		SOLE		44457	0	0
IAC INTERACTIVECORP	COM	44919P508	1835	8434	SH		SOLE		8434	0	0
JOHNSON & JOHNSON	COM	478160104	70	500	SH		SOLE		500	0	0
KIMBERLY CLARK CORP	COM	494368103	60	450	SH		SOLE		450	0	0
LIBERTY BROADBAND CORP	COM SER C	530307305	3474	33337	SH		SOLE		33337	0	0
LIBERTY MEDIA CORP DELAWARE	COM SER C FRMLA	531229854	1965	52538	SH		SOLE		52538	0	0
LKQ CORP	COM	501889208	1309	49194	SH		SOLE		49194	0	0
MASTERCARD INC	CL A	57636Q104	18601	70316	SH		SOLE		70316	0	0
MICRON TECHNOLOGY INC	COM	595112103	7008	181613	SH		SOLE		181613	0	0
MICROSOFT CORP	COM	594918104	37466	279680	SH		SOLE		279680	0	0
NETFLIX INC	COM	64110L106	2069	5633	SH		SOLE		5633	0	0
NEXSTAR MEDIA GROUP INC	CL A	65336K103	3191	31598	SH		SOLE		31598	0	0
NOVARTIS A G	SPONSORED ADR	66987V109	55	600	SH		SOLE		600	0	0
PAYPAL HLDGS INC	COM	70450Y103	152	1325	SH		SOLE		1325	0	0
PEGASYSTEMS INC	COM	705573103	1329	18658	SH		SOLE		18658	0	0
PFIZER INC	COM	717081103	65	1500	SH		SOLE		1500	0	0
PG&E CORP	COM	69331C108	2658	115969	SH		SOLE		115969	0	0
PROCTER AND GAMBLE CO	COM	742718109	66	600	SH		SOLE		600	0	0
PROSHARES TR II	ULTRASHORT YEN N	74347W569	294	4000	SH		SOLE		4000	0	0
SALESFORCE COM INC	COM	79466L302	13421	88452	SH		SOLE		88452	0	0
SEA LTD	SPONSORED ADS	81141R100	2510	75553	SH		SOLE		75553	0	0
SERVICENOW INC	COM	81762P102	16570	60350	SH		SOLE		60350	0	0
SPOTIFY TECHNOLOGY S A	SHS	L8681T102	25802	176460	SH		SOLE		176460	0	0
STARS GROUP INC	COM	85570W100	3190	186861	SH		SOLE		186861	0	0
TERRAFORM PWR INC	COM CL A	88104R209	3	186	SH		SOLE		186	0	0
TESLA INC	COM	88160R101	34	150	SH		SOLE		150	0	0
TRANSDIGM GROUP INC	COM	893641100	3524	7284	SH		SOLE		7284	0	0
UNILEVER N V	N Y SHS NEW	904784709	73	1200	SH		SOLE		1200	0	0
UNITED CONTL HLDGS INC	COM	910047109	3584	40940	SH		SOLE		40940	0	0
VIASAT INC	COM	92552V100	1199	14831	SH		SOLE		14831	0	0
VISA INC	COM CL A	92826C839	18763	108111	SH		SOLE		108111	0	0
VISTRA ENERGY CORP	COM	92840M102	3068	135503	SH		SOLE		135503	0	0
VODAFONE GROUP PLC NEW	SPONSORED ADR	92857W308	21	1300	SH		SOLE		1300	0	0
WABTEC CORP	COM	929740108	1	10	SH		SOLE		10	0	0
WILLIS TOWERS WATSON PUB LTD	SHS	G96629103	1462	7632	SH		SOLE		7632	0	0
WISDOMTREE TR	JAPN HEDGE EQT	97717W851	450	9250	SH		SOLE		9250	0	0
WIX COM LTD	SHS	M98068105	1387	9762	SH		SOLE		9762	0	0
