COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
nameOfIssuer	titleOfClass	cusip	value (x$1000)	sshPrnamt	sshPrnamtType	putCall	investmentDiscretion	otherManager	Sole	Shared	None
AVAYA HLDGS CORP	COM	05351X101	21464	1802150	SH		SOLE	1	1802150	0	0
AVAYA HLDGS CORP	COM	05351X101	12125	1018028	SH		SOLE		1018028	0	0
BERRY PETE CORP	COM	08579X101	125062	11798338	SH		SOLE		11798338	0	0
BERRY PETE CORP	COM	08579X101	21200	2000000	SH		SOLE	1	2000000	0	0
CHENIERE ENERGY INC	COM NEW	16411R208	21562	315000	SH		SOLE		315000	0	0
CHENIERE ENERGY INC	NOTE 4.250% 3/1	16411RAG4	1566	2000000	PRN		SOLE		2000000	0	0
CHESAPEAKE ENERGY CORP	NOTE 5.500% 9/1	165167CY1	29973	37584000	PRN		SOLE	1	37584000	0	0
CHESAPEAKE ENERGY CORP	NOTE 5.500% 9/1	165167CY1	17575	22038000	PRN		SOLE		22038000	0	0
CLEAR CHANNEL OUTDOOR HLDGS	COM	18453H106	5874	1244498	SH		SOLE	1	1244498	0	0
CLEAR CHANNEL OUTDOOR HLDGS	COM	18453H106	8213	1739957	SH		SOLE		1739957	0	0
CONCHO RES INC	COM	20605P101	5159	50000	SH		SOLE		50000	0	0
CONCHO RES INC	PUT	20605P951	5159	50000	SH	Put	SOLE		50000	0	0
CONCHO RES INC	CALL	20605P901	9028	87500	SH	Call	SOLE		87500	0	0
CROSS CTRY HEALTHCARE INC	COM	227483104	12566	1339640	SH		SOLE		1339640	0	0
CUMULUS MEDIA INC	COM CLASS A	231082801	1106	59633	SH		SOLE		59633	0	0
DIAMONDBACK ENERGY INC	CALL	25278X909	14166	130000	SH	Call	SOLE		130000	0	0
DIAMONDBACK ENERGY INC	PUT	25278X959	8173	75000	SH	Put	SOLE		75000	0	0
DISH NETWORK CORP	NOTE 2.375% 3/1	25470MAD1	2119	2300000	PRN		SOLE		2300000	0	0
FERROGLOBE PLC	SHS	G33856108	317	186663	SH		SOLE	1	186663	0	0
FRONTIER COMMUNICATIONS CORP	COM NEW	35906A306	1785	1019955	SH		SOLE	1	1019955	0	0
FTS INTERNATIONAL INC	COM	30283W104	1824	326844	SH		SOLE		326844	0	0
HASBRO INC	PUT	418056957	30193	285700	SH	Put	SOLE		285700	0	0
HC2 HLDGS INC	COM	404139107	669	283478	SH		SOLE		283478	0	0
ISHARES TR	PUT	464288953	25067	237200	SH	Put	SOLE		237200	0	0
ISHARES TR	PUT	464288953	80613	762800	SH	Put	SOLE	1	762800	0	0
NII HLDGS INC	COM PAR	62913F508	3670	2171496	SH		SOLE	1	2171496	0	0
NII HLDGS INC	COM PAR	62913F508	1511	894143	SH		SOLE		894143	0	0
OI S A	SPONSORED ADR NE	670851500	45424	22598881	SH		SOLE	1	22598881	0	0
OI S A	SPONSORED ADR NE	670851500	11144	5544061	SH		SOLE		5544061	0	0
PIONEER NAT RES CO	COM	723787107	15224	98950	SH		SOLE	1	98950	0	0
SCORPIO TANKERS INC	SHS	Y7542C130	19056	645542	SH		SOLE		645542	0	0
SCORPIO TANKERS INC	SHS	Y7542C130	11513	389993	SH		SOLE	1	389993	0	0
SPDR S&P 500 ETF TR	PUT	78462F953	13742	46900	SH	Put	SOLE	1	46900	0	0
SPDR S&P 500 ETF TR	PUT	78462F953	456377	1557600	SH	Put	SOLE		1557600	0	0
SPECTRUM BRANDS HLDGS INC NE	COM	84790A105	2592	48205	SH		SOLE		48205	0	0
SYNACOR INC	COM	871561106	93	59785	SH		SOLE		59785	0	0
TENET HEALTHCARE CORP	COM NEW	88033G407	3020	146170	SH		SOLE	1	146170	0	0
TESLA INC	NOTE 2.375% 3/1	88160RAD3	3754	3811000	PRN		SOLE	1	3811000	0	0
VISTRA ENERGY CORP	COM	92840M102	8901	393161	SH		SOLE		393161	0	0
WPX ENERGY INC	COM	98212B103	5379	467300	SH		SOLE	1	467300	0	0
WPX ENERGY INC	CALL	98212B903	24490	2127700	SH	Call	SOLE		2127700	0	0
WPX ENERGY INC	COM	98212B103	9323	810000	SH		SOLE		810000	0	0
