COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
nameOfIssuer	titleOfClass	cusip	value (x$1000)	sshPrnamt	sshPrnamtType	putCall	investmentDiscretion	otherManager	Sole	Shared	None
2U INC	COM	90214J101	2712	72062	SH		DFND		72062	0	0
2U INC	COM	90214J101	1503	39918	SH		SOLE		39918	0	0
2U INC	COM	90214J101	17644	468767	SH		DFND	1,3	468767	0	0
ADOBE INC	COM	00724F101	3759	12757	SH		DFND		12757	0	0
ADOBE INC	COM	00724F101	13626	46244	SH		SOLE		42341	0	3903
ADOBE INC	COM	00724F101	40476	137371	SH		DFND	1,2,3,4	137371	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	3637	21466	SH		DFND		21466	0	0
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	13146	77579	SH		SOLE		70970	0	6609
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	37965	224047	SH		DFND	1,2,3,4	224047	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	3292	23493	SH		DFND		23493	0	0
ALLIANCE DATA SYSTEMS CORP	COM	018581108	11890	84852	SH		SOLE		77625	0	7227
ALLIANCE DATA SYSTEMS CORP	COM	018581108	34596	246887	SH		DFND	1,2,3,4	246887	0	0
ALLOGENE THERAPEUTICS INC	COM	019770106	289	10760	SH		DFND		10760	0	0
ALLOGENE THERAPEUTICS INC	COM	019770106	163	6080	SH		SOLE		6080	0	0
ALLOGENE THERAPEUTICS INC	COM	019770106	1931	71920	SH		DFND	1,3	71920	0	0
ALPHABET INC	CAP STK CL C	02079K107	3403	3148	SH		DFND		3148	0	0
ALPHABET INC	CAP STK CL C	02079K107	12489	11554	SH		SOLE		10569	0	985
ALPHABET INC	CAP STK CL C	02079K107	35777	33099	SH		DFND	1,2,3,4	33099	0	0
AMAZON COM INC	COM	023135106	3736	1973	SH		DFND		1973	0	0
AMAZON COM INC	COM	023135106	13613	7189	SH		SOLE		6577	0	612
AMAZON COM INC	COM	023135106	39227	20715	SH		DFND	1,2,3,4	20715	0	0
ATLASSIAN CORP PLC	CL A	G06242104	3042	23253	SH		DFND		23253	0	0
ATLASSIAN CORP PLC	CL A	G06242104	10345	79069	SH		SOLE		72374	0	6695
ATLASSIAN CORP PLC	CL A	G06242104	30451	232738	SH		DFND	1,2,3,4	232738	0	0
AUDENTES THERAPEUTICS INC	COM	05070R104	294	7760	SH		DFND		7760	0	0
AUDENTES THERAPEUTICS INC	COM	05070R104	166	4380	SH		SOLE		4380	0	0
AUDENTES THERAPEUTICS INC	COM	05070R104	1965	51900	SH		DFND	1,3	51900	0	0
AVALARA INC	COM	05338G106	1564	21660	SH		DFND		21660	0	0
AVALARA INC	COM	05338G106	814	11280	SH		SOLE		11280	0	0
AVALARA INC	COM	05338G106	9839	136270	SH		DFND	1,3	136270	0	0
BLACKLINE INC	COM	09239B109	1562	29200	SH		DFND		29200	0	0
BLACKLINE INC	COM	09239B109	814	15220	SH		SOLE		15220	0	0
BLACKLINE INC	COM	09239B109	9832	183740	SH		DFND	1,3	183740	0	0
BLUEBIRD BIO INC	COM	09609G100	234	1840	SH		DFND		1840	0	0
BLUEBIRD BIO INC	COM	09609G100	132	1040	SH		SOLE		1040	0	0
BLUEBIRD BIO INC	COM	09609G100	1566	12310	SH		DFND	1,3	12310	0	0
BOOKING HLDGS INC	COM	09857L108	3599	1920	SH		DFND		1920	0	0
BOOKING HLDGS INC	COM	09857L108	13104	6990	SH		SOLE		6390	0	600
BOOKING HLDGS INC	COM	09857L108	37682	20100	SH		DFND	1,2,3,4	20100	0	0
CARMAX INC	COM	143130102	3935	45319	SH		DFND		45319	0	0
CARMAX INC	COM	143130102	14199	163525	SH		SOLE		149601	0	13924
CARMAX INC	COM	143130102	41068	472970	SH		DFND	1,2,3,4	472970	0	0
COMSCORE INC	COM	20564W105	41	7945	SH		DFND		7945	0	0
COMSCORE INC	COM	20564W105	121	23418	SH		SOLE		21509	0	1909
COMSCORE INC	COM	20564W105	427	82717	SH		DFND	1,2,3,4	82717	0	0
COUPA SOFTWARE INC	COM	22266L106	3299	26055	SH		DFND		26055	0	0
COUPA SOFTWARE INC	COM	22266L106	11222	88636	SH		SOLE		81139	0	7497
COUPA SOFTWARE INC	COM	22266L106	33030	260876	SH		DFND	1,2,3,4	260876	0	0
