COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
CHART INDS INC 	COM PAR $0.01	16115Q308	176	2294	SH		DFND	01, 02	2294	0	0
CHART INDS INC 	COM PAR $0.01	16115Q308	308	4000	SH	Put	DFND	01, 02	4000	0	0
CHARTER COMMUNICATIONS INC N 	CL A	16119P108	6125	15500	SH	Call	DFND	01, 02	15500	0	0
CHARTER COMMUNICATIONS INC N 	CL A	16119P108	4584	11600	SH	Put	DFND	01, 02	11600	0	0
CHATHAM LODGING TR 	COM	16208T102	45	2387	SH		DFND	01, 02	2387	0	0
CHATHAM LODGING TR 	COM	16208T102	94	5000	SH	Call	DFND	01, 02	5000	0	0
CHATHAM LODGING TR 	COM	16208T102	653	34600	SH	Put	DFND	01, 02	34600	0	0
CHECK POINT SOFTWARE TECH LT 	ORD	M22465104	1861	16100	SH	Call	DFND	01, 02	16100	0	0
CHECK POINT SOFTWARE TECH LT 	ORD	M22465104	1445	12500	SH	Put	DFND	01, 02	12500	0	0
CHEESECAKE FACTORY INC 	COM	163072101	573	13097	SH		DFND	01, 02	13097	0	0
CHEESECAKE FACTORY INC 	COM	163072101	87	2000	SH	Call	DFND	01, 02	2000	0	0
CHEESECAKE FACTORY INC 	COM	163072101	2134	48800	SH	Put	DFND	01, 02	48800	0	0
CHEFS WHSE INC 	COM	163086101	167	4767	SH		DFND	01, 02	4767	0	0
CHEFS WHSE INC 	COM	163086101	351	10000	SH	Put	DFND	01, 02	10000	0	0
CHEGG INC	COM	163092109	8173	211800	SH	Call	DFND	01, 02	211800	0	0
CHEGG INC	COM	163092109	359	9300	SH	Put	DFND	01, 02	9300	0	0
CHEMED CORP NEW 	COM	16359R103	505	1400	SH	Call	DFND	01, 02	1400	0	0
CHEMOURS CO 	COM	163851108	1884	78520	SH		DFND	01, 02	78520	0	0
CHEMOURS CO	COM	163851108	643	26800	SH	Call	DFND	01, 02	26800	0	0
CHEMOURS CO	COM	163851108	3002	125100	SH	Put	DFND	01, 02	125100	0	0
CHENIERE ENERGY INC 	COM NEW	16411R208	2567	37500	SH	Call	DFND	01, 02	37500	0	0
CHENIERE ENERGY INC 	COM NEW	16411R208	49428	722100	SH	Put	DFND	01, 02	722100	0	0
CHENIERE ENERGY PARTNERS LP 	COM UNIT	16411Q101	1691	40094	SH		DFND	01, 02	40094	0	0
CHESAPEAKE ENERGY CORP 	COM	165167107	41	21275	SH		DFND	01, 02	21275	0	0
CHESAPEAKE ENERGY CORP 	COM	165167107	16	8100	SH	Call	DFND	01, 02	8100	0	0
CHESAPEAKE ENERGY CORP 	COM	165167107	14	7400	SH	Put	DFND	01, 02	7400	0	0
CHEVRON CORP	COM	166764100	15953	128200	SH	Call	DFND	01, 02	128200	0	0
CHEVRON CORP	COM	166764100	4828	38800	SH	Put	DFND	01, 02	38800	0	0
CHILDRENS PL INC 	COM	168905107	3024	31703	SH		DFND	01, 02	31703	0	0
CHIMERA INVT CORP 	COM NEW	16934Q208	647	34297	SH		DFND	01, 02	34297	0	0
CHIMERA INVT CORP 	COM NEW	16934Q208	2	100	SH	Call	DFND	01, 02	100	0	0
CHIMERA INVT CORP 	COM NEW	16934Q208	6786	359600	SH	Put	DFND	01, 02	359600	0	0
CHINA BIOLOGIC PRODS HLDGS I 	COM	G21515104	6261	65700	SH	Call	DFND	01, 02	65700	0	0
CHINA LIFE INS CO LTD 	SPON ADR REP H	16939P106	93	7504	SH		DFND	01, 02	7504	0	0
CHINA LIFE INS CO LTD 	SPON ADR REP H	16939P106	777	62800	SH	Call	DFND	01, 02	62800	0	0
CHINA LIFE INS CO LTD 	SPON ADR REP H	16939P106	2227	180000	SH	Put	DFND	01, 02	180000	0	0
CHINA MOBILE LIMITED 	SPONSORED ADR	16941M109	2050	45254	SH		DFND	01, 02	45254	0	0
CHINA MOBILE LIMITED 	SPONSORED ADR	16941M109	4991	110200	SH	Call	DFND	01, 02	110200	0	0
CHINA MOBILE LIMITED 	SPONSORED ADR	16941M109	12813	282900	SH	Put	DFND	01, 02	282900	0	0
CHINA PETE & CHEM CORP 	SPON ADR H SHS	16941R108	2984	43757	SH		DFND	01, 02	43757	0	0
CHINA PETE & CHEM CORP 	SPON ADR H SHS	16941R108	9132	133900	SH	Put	DFND	01, 02	133900	0	0
CHIPMOS TECHNOLOGIES INC	SPONSORD ADS NEW	16965P202	269	17500	SH	Call	DFND	01, 02	17500	0	0
CHIPOTLE MEXICAN GRILL INC 	COM	169656105	2902	3960	SH		DFND	01, 02	3960	0	0
CHIPOTLE MEXICAN GRILL INC 	COM	169656105	25871	35300	SH	Call	DFND	01, 02	35300	0	0
CHIPOTLE MEXICAN GRILL INC 	COM	169656105	135436	184800	SH	Put	DFND	01, 02	184800	0	0
CHUBB LIMITED 	COM	H1467J104	7600	51600	SH	Call	DFND	01, 02	51600	0	0
CHURCH & DWIGHT INC	COM	171340102	3237	44300	SH	Call	DFND	01, 02	44300	0	0
CHURCH & DWIGHT INC	COM	171340102	760	10400	SH	Put	DFND	01, 02	10400	0	0
CHURCHILL DOWNS INC 	COM	171484108	1013	8800	SH	Call	DFND	01, 02	8800	0	0
CHUYS HLDGS INC 	COM	171604101	75	3276	SH		DFND	01, 02	3276	0	0
CHUYS HLDGS INC 	COM	171604101	211	9200	SH	Put	DFND	01, 02	9200	0	0
CIENA CORP 	COM NEW	171779309	1390	33791	SH		DFND	01, 02	33791	0	0
CIENA CORP 	COM NEW	171779309	2838	69000	SH	Call	DFND	01, 02	69000	0	0
CIENA CORP 	COM NEW	171779309	6466	157200	SH	Put	DFND	01, 02	157200	0	0
CIGNA CORP NEW	COM	125523100	64691	410609	SH		DFND	01, 02	410609	0	0
CIGNA CORP NEW	COM	125523100	13014	82600	SH	Call	DFND	01, 02	82600	0	0
CIGNA CORP NEW	COM	125523100	113389	719700	SH	Put	DFND	01, 02	719700	0	0
CIMAREX ENERGY CO 	COM	171798101	4412	74372	SH		DFND	01, 02	74372	0	0
CIMAREX ENERGY CO 	COM	171798101	279	4700	SH	Call	DFND	01, 02	4700	0	0
CIMAREX ENERGY CO 	COM	171798101	6271	105700	SH	Put	DFND	01, 02	105700	0	0
CIMPRESS N V	SHS EURO	N20146101	691	7600	SH	Call	DFND	01, 02	7600	0	0
CIMPRESS N V	SHS EURO	N20146101	554	6100	SH	Put	DFND	01, 02	6100	0	0
CINCINNATI FINL CORP 	COM	172062101	5992	57800	SH	Call	DFND	01, 02	57800	0	0
CINCINNATI FINL CORP 	COM	172062101	2136	20600	SH	Put	DFND	01, 02	20600	0	0
CINEMARK HOLDINGS INC	COM	17243V102	751	20805	SH		DFND	01, 02	20805	0	0
CINEMARK HOLDINGS INC	COM	17243V102	903	25000	SH	Put	DFND	01, 02	25000	0	0
CIRRUS LOGIC INC 	COM	172755100	1520	34778	SH		DFND	01, 02	34778	0	0
CISCO SYS INC	COM	17275R102	6119	111800	SH	Call	DFND	01, 02	111800	0	0
CISCO SYS INC	COM	17275R102	10224	186800	SH	Put	DFND	01, 02	186800	0	0
CISION LTD 	SHS	G1992S109	165	14027	SH		DFND	01, 02	14027	0	0
CIT GROUP INC	COM NEW	125581801	4252	80931	SH		DFND	01, 02	80931	0	0
CIT GROUP INC	COM NEW	125581801	583	11100	SH	Call	DFND	01, 02	11100	0	0
CIT GROUP INC	COM NEW	125581801	1324	25200	SH	Put	DFND	01, 02	25200	0	0
CITIGROUP INC 	COM NEW	172967424	6729	96087	SH		DFND	01, 02	96087	0	0
CITIGROUP INC 	COM NEW	172967424	9860	140800	SH	Call	DFND	01, 02	140800	0	0
CITIGROUP INC 	COM NEW	172967424	126411	1805100	SH	Put	DFND	01, 02	1805100	0	0
CITIZENS FINL GROUP INC 	COM	174610105	1050	29696	SH		DFND	01, 02	29696	0	0
CITIZENS FINL GROUP INC 	COM	174610105	1064	30100	SH	Call	DFND	01, 02	30100	0	0
CITIZENS FINL GROUP INC 	COM	174610105	4236	119800	SH	Put	DFND	01, 02	119800	0	0
CITRIX SYS INC 	COM	177376100	8164	83185	SH		DFND	01, 02	83185	0	0
CITRIX SYS INC 	COM	177376100	432	4400	SH	Call	DFND	01, 02	4400	0	0
CITRIX SYS INC 	COM	177376100	21777	221900	SH	Put	DFND	01, 02	221900	0	0
CITY HLDG CO 	COM	177835105	162	2120	SH		DFND	01, 02	2120	0	0
CITY HLDG CO 	COM	177835105	229	3000	SH	Call	DFND	01, 02	3000	0	0
CLEAN HARBORS INC	COM	184496107	3084	43371	SH		DFND	01, 02	43371	0	0
CLEAN HARBORS INC	COM	184496107	7	100	SH	Put	DFND	01, 02	100	0	0
CLEARWAY ENERGY INC	CL C	18539C204	1176	69761	SH		DFND	01, 02	69761	0	0
CLEVELAND CLIFFS INC	COM	185899101	546	51212	SH		DFND	01, 02	51212	0	0
CLEVELAND CLIFFS INC	COM	185899101	19	1800	SH	Call	DFND	01, 02	1800	0	0
CLEVELAND CLIFFS INC	COM	185899101	22027	2064400	SH	Put	DFND	01, 02	2064400	0	0
CLOROX CO DEL 	COM	189054109	1133	7400	SH	Call	DFND	01, 02	7400	0	0
CLOROX CO DEL 	COM	189054109	643	4200	SH	Put	DFND	01, 02	4200	0	0
CLOUDERA INC 	COM	18914U100	3234	614902	SH		DFND	01, 02	614902	0	0
CLOUDERA INC 	COM	18914U100	68	13000	SH	Call	DFND	01, 02	13000	0	0
CLOUDERA INC 	COM	18914U100	8177	1554500	SH	Put	DFND	01, 02	1554500	0	0
CME GROUP INC	COM	12572Q105	5125	26400	SH	Call	DFND	01, 02	26400	0	0
CME GROUP INC	COM 	12572Q105	1747	9000	SH	Put	DFND	01, 02	9000	0	0
CNX RESOURCES CORPORATION 	COM	12653C108	310	42415	SH		DFND	01, 02	42415	0	0
CNX RESOURCES CORPORATION 	COM	12653C108	249	34000	SH	Put	DFND	01, 02	34000	0	0
COCA COLA CO	COM	191216100	6329	124300	SH	Call	DFND	01, 02	124300	0	0
COCA COLA EUROPEAN PARTNERS 	SHS	G25839104	3396	60100	SH	Call	DFND	01, 02	60100	0	0
COGENT COMMUNICATIONS HLDGS 	COM NEW	19239V302	1187	20000	SH	Call	DFND	01, 02	20000	0	0
COGENT COMMUNICATIONS HLDGS 	COM NEW	19239V302	386	6500	SH	Put	DFND	01, 02	6500	0	0
COGNEX CORP 	COM	192422103	1996	41600	SH	Call	DFND	01, 02	41600	0	0
COGNEX CORP 	COM	192422103	585	12200	SH	Put	DFND	01, 02	12200	0	0
COGNIZANT TECHNOLOGY SOLUTIO 	CL A	192446102	48	753	SH		DFND	01, 02	753	0	0
COGNIZANT TECHNOLOGY SOLUTIO 	CL A	192446102	1097	17300	SH	Call	DFND	01, 02	17300	0	0
COGNIZANT TECHNOLOGY SOLUTIO 	CL A	192446102	368	5800	SH	Put	DFND	01, 02	5800	0	0
COHEN & STEERS INC 	COM	19247A100	284	5522	SH		DFND	01, 02	5522	0	0
COHEN & STEERS INC 	COM	19247A100	977	19000	SH	Put	DFND	01, 02	19000	0	0
COHERENT INC 	COM	192479103	1986	14560	SH		DFND	01, 02	14560	0	0
COHERENT INC 	COM	192479103	614	4500	SH	Call	DFND	01, 02	4500	0	0
COHERENT INC 	COM	192479103	3682	27000	SH	Put	DFND	01, 02	27000	0	0
COLFAX CORP 	COM	194014106	1697	60527	SH		DFND	01, 02	60527	0	0
COLFAX CORP 	COM	194014106	1732	61800	SH	Put	DFND	01, 02	61800	0	0
COLGATE PALMOLIVE CO 	COM	194162103	110	1535	SH		DFND	01, 02	1535	0	0
COLGATE PALMOLIVE CO 	COM	194162103	1928	26900	SH	Call	DFND	01, 02	26900	0	0
COLGATE PALMOLIVE CO 	COM	194162103	2021	28200	SH	Put	DFND	01, 02	28200	0	0
COLLECTORS UNIVERSE INC 	COM NEW	19421R200	359	16800	SH	Call	DFND	01, 02	16800	0	0
COLUMBIA FINL INC	COM	197641103	174	11500	SH	Call	DFND	01, 02	11500	0	0
COLUMBIA SPORTSWEAR CO	COM	198516106	187	1863	SH		DFND	01, 02	1863	0	0
COLUMBIA SPORTSWEAR CO	COM	198516106	270	2700	SH	Call	DFND	01, 02	2700	0	0
COMCAST CORP NEW 	CL A	20030N101	7217	170686	SH		DFND	01, 02	170686	0	0
COMCAST CORP NEW 	CL A	20030N101	2689	63600	SH	Call	DFND	01, 02	63600	0	0
COMCAST CORP NEW 	CL A	20030N101	13792	326200	SH	Put	DFND	01, 02	326200	0	0
COMERICA INC 	COM	200340107	539	7414	SH		DFND	01, 02	7414	0	0
COMFORT SYS USA INC 	COM	199908104	154	3030	SH		DFND	01, 02	3030	0	0
COMFORT SYS USA INC 	COM	199908104	418	8200	SH	Put	DFND	01, 02	8200	0	0
COMMERCIAL METALS CO 	COM	201723103	289	16199	SH		DFND	01, 02	16199	0	0
COMMERCIAL METALS CO 	COM	201723103	609	34100	SH	Call	DFND	01, 02	34100	0	0
COMMERCIAL METALS CO 	COM	201723103	1250	70000	SH	Put	DFND	01, 02	70000	0	0
COMMERCIAL VEH GROUP INC 	COM	202608105	449	56000	SH	Call	DFND	01, 02	56000	0	0
COMMUNITY BK SYS INC 	COM	203607106	487	7400	SH	Call	DFND	01, 02	7400	0	0
COMPANHIA DE SANEAMENTO BASI	SPONSORED ADR	20441A102	243	19987	SH		DFND	01, 02	19987	0	0
COMPANHIA DE SANEAMENTO BASI	SPONSORED ADR	20441A102	13	1100	SH	Call	DFND	01, 02	1100	0	0
COMPANHIA SIDERURGICA NACION	SPONSORED ADR	20440W105	45	10356	SH		DFND	01, 02	10356	0	0
COMPANHIA SIDERURGICA NACION 	SPONSORED ADR	20440W105	27	6300	SH	Call	DFND	01, 02	6300	0	0
COMPANHIA SIDERURGICA NACION 	SPONSORED ADR	20440W105	431	100000	SH	Put	DFND	01, 02	100000	0	0
COMPASS DIVERSIFIED HOLDINGS SH BEN INT	COM	20451Q104	648	33900	SH	Call	DFND	01, 02	33900	0	0
COMPASS MINERALS INTL INC	COM	20451N101	720	13095	SH		DFND	01, 02	13095	0	0
COMPASS MINERALS INTL INC	COM	20451N101	38	700	SH	Call	DFND	01, 02	700	0	0
COMPASS MINERALS INTL INC	COM	20451N101	308	5600	SH	Put	DFND	01, 02	5600	0	0
COMSCORE INC	COM	20564W105	46	8845	SH		DFND	01, 02	8845	0	0
COMSCORE INC	COM	20564W105	202	39100	SH	Put	DFND	01, 02	39100	0	0
CONAGRA BRANDS INC	COM	205887102	13523	509910	SH		DFND	01, 02	509910	0	0
CONAGRA BRANDS INC 	COM	205887102	1955	73700	SH	Call	DFND	01, 02	73700	0	0
CONAGRA BRANDS INC	COM	205887102	4954	186800	SH	Put	DFND	01, 02	186800	0	0
CONCHO RES INC 	COM	20605P101	1080	10469	SH		DFND	01, 02	10469	0	0
CONCHO RES INC 	COM	20605P101	1496	14500	SH	Put	DFND	01, 02	14500	0	0
CONDUENT INC 	COM	206787103	339	35361	SH		DFND	01, 02	35361	0	0
CONOCOPHILLIPS 	COM	20825C104	17562	287900	SH	Call	DFND	01, 02	287900	0	0
CONOCOPHILLIPS 	COM	20825C104	4301	70500	SH	Put	DFND	01, 02	70500	0	0
CONSOLIDATED COMM HLDGS INC 	COM	209034107	99	20000	SH	Call	DFND	01, 02	20000	0	0
CONSOLIDATED EDISON INC 	COM	209115104	4542	51800	SH	Call	DFND	01, 02	51800	0	0
CONSTELLATION BRANDS INC	CL A	21036P108	6436	32681	SH		DFND	01, 02	32681	0	0
CONSTELLATION BRANDS INC 	CL A	21036P108	2403	12200	SH	Call	DFND	01, 02	12200	0	0
CONSTELLATION BRANDS INC 	CL A	21036P108	4471	22700	SH	Put	DFND	01, 02	22700	0	0
CONSTELLIUM NV 	CL A	N22035104	204	20294	SH		DFND	01, 02	20294	0	0
CONTINENTAL RESOURCES INC 	COM	212015101	709	16840	SH		DFND	01, 02	16840	0	0
CONTINENTAL RESOURCES INC 	COM	212015101	2454	58300	SH	Call	DFND	01, 02	58300	0	0
CONTINENTAL RESOURCES INC 	COM	212015101	5358	127300	SH	Put	DFND	01, 02	127300	0	0
CONTROLADORA VUELA CIA DE AV 	SPON ADR RP 10	21240E105	70	7500	SH	Call	DFND	01, 02	7500	0	0
CONTROLADORA VUELA CIA DE AV 	SPON ADR RP 10	21240E105	94	10000	SH	Put	DFND	01, 02	10000	0	0
COOPER COS INC 	COM NEW	216648402	3167	9400	SH	Call	DFND	01, 02	9400	0	0
COOPER STD HLDGS INC 	COM	21676P103	2364	51585	SH		DFND	01, 02	51585	0	0
COOPER STD HLDGS INC 	COM	21676P103	458	10000	SH	Call	DFND	01, 02	10000	0	0
COOPER STD HLDGS INC 	COM	21676P103	3505	76500	SH	Put	DFND	01, 02	76500	0	0
COOPER TIRE & RUBR CO 	COM	216831107	1717	54418	SH		DFND	01, 02	54418	0	0
COOPER TIRE & RUBR CO 	COM	216831107	120	3800	SH	Call	DFND	01, 02	3800	0	0
COOPER TIRE & RUBR CO 	COM	216831107	4733	150000	SH	Put	DFND	01, 02	150000	0	0
COPA HOLDINGS SA 	CL A	P31076105	839	8600	SH	Call	DFND	01, 02	8600	0	0
COPA HOLDINGS SA 	CL A	P31076105	2351	24100	SH	Put	DFND	01, 02	24100	0	0
COPART INC 	COM	217204106	4761	63700	SH	Call	DFND	01, 02	63700	0	0
COPART INC	COM	217204106	2803	37500	SH	Put	DFND	01, 02	37500	0	0
CORE LABORATORIES N V 	COM	N22717107	1703	32570	SH		DFND	01, 02	32570	0	0
CORE LABORATORIES N V 	COM	N22717107	4930	94300	SH	Put	DFND	01, 02	94300	0	0
CORE MARK HOLDING CO INC 	COM	218681104	1954	49200	SH	Call	DFND	01, 02	49200	0	0
CORELOGIC INC 	COM	21871D103	1167	27900	SH	Call	DFND	01, 02	27900	0	0
CORELOGIC INC 	COM	21871D103	1267	30300	SH	Put	DFND	01, 02	30300	0	0
CORESITE RLTY CORP 	COM	21870Q105	360	3124	SH		DFND	01, 02	3124	0	0
CORESITE RLTY CORP 	COM	21870Q105	576	5000	SH	Call	DFND	01, 02	5000	0	0
CORESITE RLTY CORP 	COM	21870Q105	1532	13300	SH	Put	DFND	01, 02	13300	0	0
CORNERSTONE ONDEMAND INC 	COM	21925Y103	6500	112200	SH	Call	DFND	01, 02	112200	0	0
CORNERSTONE ONDEMAND INC 	COM	21925Y103	81	1400	SH	Put	DFND	01, 02	1400	0	0
CORNING INC 	COM	219350105	657	19781	SH		DFND	01, 02	19781	0	0
CORNING INC 	COM	219350105	276	8300	SH	Put	DFND	01, 02	8300	0	0
CORTEVA INC	COM	22052L104	455	15400	SH	Call	DFND	01, 02	15400	0	0
CORVEL CORP 	COM	221006109	1488	17100	SH	Call	DFND	01, 02	17100	0	0
COSAN LTD	SHS A	G25343107	1821	136300	SH	Call	DFND	01, 02	136300	0	0
COSAN LTD 	SHS A	G25343107	187	14000	SH	Put	DFND	01, 02	14000	0	0
COSTAMARE INC 	SHS	Y1771G102	63	12200	SH	Call	DFND	01, 02	12200	0	0
COSTAR GROUP INC 	COM	22160N109	2269	4095	SH		DFND	01, 02	4095	0	0
COSTAR GROUP INC 	COM	22160N109	1995	3600	SH	Call	DFND	01, 02	3600	0	0
COSTCO WHSL CORP NEW 	COM	22160K105	2565	9707	SH		DFND	01, 02	9707	0	0
COSTCO WHSL CORP NEW 	COM	22160K105	2352	8900	SH	Call	DFND	01, 02	8900	0	0
COSTCO WHSL CORP NEW 	COM	22160K105	13689	51800	SH	Put	DFND	01, 02	51800	0	0
COTT CORP QUE 	COM	22163N106	481	36045	SH		DFND	01, 02	36045	0	0
COTY INC 	COM CL A	222070203	165	12347	SH		DFND	01, 02	12347	0	0
COUPA SOFTWARE INC 	COM	22266L106	9872	77972	SH		DFND	01, 02	77972	0	0
COUPA SOFTWARE INC 	COM	22266L106	13117	103600	SH	Call	DFND	01, 02	103600	0	0
COUPA SOFTWARE INC 	COM	22266L106	21929	173200	SH	Put	DFND	01, 02	173200	0	0
COVANTA HLDG CORP	COM	22282E102	1777	99200	SH	Call	DFND	01, 02	99200	0	0
CRA INTL INC 	COM	12618T105	787	20525	SH		DFND	01, 02	20525	0	0
CRA INTL INC 	COM	12618T105	958	25000	SH	Put	DFND	01, 02	25000	0	0
CRACKER BARREL OLD CTRY STOR 	COM	22410J106	18012	105500	SH	Call	DFND	01, 02	105500	0	0
CRACKER BARREL OLD CTRY STOR 	COM	22410J106	2015	11800	SH	Put	DFND	01, 02	11800	0	0
CRAFT BREW ALLIANCE INC 	COM	224122101	578	41317	SH		DFND	01, 02	41317	0	0
CREDIT ACCEP CORP MICH 	COM	225310101	3036	6274	SH		DFND	01, 02	6274	0	0
CREDIT ACCEP CORP MICH 	COM	225310101	1500	3100	SH	Call	DFND	01, 02	3100	0	0
CREDIT ACCEP CORP MICH 	COM	225310101	13934	28800	SH	Put	DFND	01, 02	28800	0	0
CREDIT SUISSE GROUP	SPONSORED ADR	225401108	11094	926828	SH		DFND	01, 02	926828	0	0
CREDIT SUISSE GROUP 	SPONSORED ADR	225401108	335	28000	SH	Call	DFND	01, 02	28000	0	0
CREDIT SUISSE GROUP	SPONSORED ADR	225401108	44611	3726900	SH	Put	DFND	01, 02	3726900	0	0
CREE INC 	COM	225447101	4561	81193	SH		DFND	01, 02	81193	0	0
CREE INC 	COM	225447101	8287	147500	SH	Call	DFND	01, 02	147500	0	0
CREE INC 	COM	225447101	747	13300	SH	Put	DFND	01, 02	13300	0	0
CRESTWOOD EQUITY PARTNERS LP 	UNIT LTD PARTNER	226344208	2157	60300	SH	Call	DFND	01, 02	60300	0	0
CRESTWOOD EQUITY PARTNERS LP 	UNIT LTD PARTNER	226344208	343	9600	SH	Put	DFND	01, 02	9600	0	0
CRISPR THERAPEUTICS AG 	NAMEN AKT	H17182108	744	15800	SH	Call	DFND	01, 02	15800	0	0
CROCS INC 	COM	227046109	366	18514	SH		DFND	01, 02	18514	0	0
CROCS INC 	COM	227046109	12	600	SH	Call	DFND	01, 02	600	0	0
CROCS INC 	COM	227046109	1677	84900	SH	Put	DFND	01, 02	84900	0	0
CRONOS GROUP INC 	COM	22717L101	565	35386	SH		DFND	01, 02	35386	0	0
CRONOS GROUP INC 	COM	22717L101	799	50000	SH	Put	DFND	01, 02	50000	0	0
CROSSAMERICA PARTNERS LP 	UT LTD PTN INT	22758A105	162	10100	SH	Call	DFND	01, 02	10100	0	0
CROWN CASTLE INTL CORP NEW 	COM	22822V101	4575	35100	SH	Call	DFND	01, 02	35100	0	0
CROWN CASTLE INTL CORP NEW 	COM	22822V101	730	5600	SH	Put	DFND	01, 02	5600	0	0
CROWN HOLDINGS INC 	COM	228368106	2248	36793	SH		DFND	01, 02	36793	0	0
CROWN HOLDINGS INC 	COM	228368106	61	1000	SH	Call	DFND	01, 02	1000	0	0
CROWN HOLDINGS INC 	COM	228368106	147	2400	SH	Put	DFND	01, 02	2400	0	0
CSG SYS INTL INC 	COM	126349109	270	5534	SH		DFND	01, 02	5534	0	0
CSI COMPRESSCO LP 	COM UNIT	12637A103	6	1811	SH		DFND	01, 02	1811	0	0
CSI COMPRESSCO LP 	COM UNIT	12637A103	41	11500	SH	Put	DFND	01, 02	11500	0	0
CSX CORP 	COM	126408103	14693	189900	SH	Call	DFND	01, 02	189900	0	0
CSX CORP 	COM	126408103	4209	54400	SH	Put	DFND	01, 02	54400	0	0
CTRIP COM INTL LTD	SPONSORED ADS	22943F100	1657	44900	SH		DFND	01, 02	44900	0	0
CTRIP COM INTL LTD 	SPONSORED ADS	22943F100	6636	179800	SH	Put	DFND	01, 02	179800	0	0
CUBIC CORP 	COM	229669106	1380	21400	SH	Call	DFND	01, 02	21400	0	0
CUBIC CORP 	COM	229669106	45	700	SH	Put	DFND	01, 02	700	0	0
CULLEN FROST BANKERS INC 	COM	229899109	3698	39480	SH		DFND	01, 02	39480	0	0
CULLEN FROST BANKERS INC 	COM	229899109	8589	91700	SH	Put	DFND	01, 02	91700	0	0
CUMMINS INC	COM	231021106	36	212	SH		DFND	01, 02	212	0	0
CUMMINS INC	COM	231021106	257	1500	SH	Call	DFND	01, 02	1500	0	0
CUMMINS INC	COM	231021106	857	5000	SH	Put	DFND	01, 02	5000	0	0
CURTISS WRIGHT CORP	COM	231561101	2632	20700	SH	Call	DFND	01, 02	20700	0	0
CURTISS WRIGHT CORP	COM	231561101	1869	14700	SH	Put	DFND	01, 02	14700	0	0
CUSTOMERS BANCORP INC 	COM	23204G100	233	11100	SH	Call	DFND	01, 02	11100	0	0
CUSTOMERS BANCORP INC 	COM	23204G100	315	15000	SH	Put	DFND	01, 02	15000	0	0
CVR ENERGY INC 	COM	12662P108	3899	78000	SH	Call	DFND	01, 02	78000	0	0
CVR ENERGY INC 	COM	12662P108	2500	50000	SH	Put	DFND	01, 02	50000	0	0
CVS HEALTH CORP 	COM	126650100	25431	466707	SH		DFND	01, 02	466707	0	0
CVS HEALTH CORP 	COM	126650100	2190	40200	SH	Call	DFND	01, 02	40200	0	0
CVS HEALTH CORP 	COM	126650100	80231	1472400	SH	Put	DFND	01, 02	1472400	0	0
CYBERARK SOFTWARE LTD 	SHS	M2682V108	2875	22491	SH		DFND	01, 02	22491	0	0
CYBERARK SOFTWARE LTD 	SHS	M2682V108	1611	12600	SH	Call	DFND	01, 02	12600	0	0
CYBERARK SOFTWARE LTD 	SHS	M2682V108	7428	58100	SH	Put	DFND	01, 02	58100	0	0
CYPRESS SEMICONDUCTOR CORP 	COM	232806109	589	26492	SH		DFND	01, 02	26492	0	0
CYPRESS SEMICONDUCTOR CORP 	COM	232806109	76	3400	SH	Call	DFND	01, 02	3400	0	0
CYPRESS SEMICONDUCTOR CORP 	COM	232806109	5177	232800	SH	Put	DFND	01, 02	232800	0	0
CYRUSONE INC 	COM	23283R100	848	14700	SH		DFND	01, 02	14700	0	0
CYRUSONE INC 	COM	23283R100	173	3000	SH	Call	DFND	01, 02	3000	0	0
CYRUSONE INC 	COM	23283R100	2759	47800	SH	Put	DFND	01, 02	47800	0	0
D R HORTON INC 	COM	23331A109	10913	253035	SH		DFND	01, 02	253035	0	0
D R HORTON INC 	COM	23331A109	7181	166500	SH	Call	DFND	01, 02	166500	0	0
D R HORTON INC 	COM	23331A109	12482	289400	SH	Put	DFND	01, 02	289400	0	0
DANA INCORPORATED 	COM	235825205	522	26200	SH	Call	DFND	01, 02	26200	0	0
DANAHER CORPORATION 	COM	235851102	2463	17236	SH		DFND	01, 02	17236	0	0
DANAHER CORPORATION 	COM	235851102	2144	15000	SH	Put	DFND	01, 02	15000	0	0
DARDEN RESTAURANTS INC 	COM	237194105	1229	10100	SH	Call	DFND	01, 02	10100	0	0
DARDEN RESTAURANTS INC 	COM	237194105	1083	8900	SH	Put	DFND	01, 02	8900	0	0
DARLING INGREDIENTS INC	COM	237266101	340	17090	SH		DFND	01, 02	17090	0	0
DAVE & BUSTERS ENTMT INC 	COM	238337109	6204	153300	SH	Call	DFND	01, 02	153300	0	0
DAVE & BUSTERS ENTMT INC 	COM	238337109	554	13700	SH	Put	DFND	01, 02	13700	0	0
DAVITA INC	COM	23918K108	1513	26890	SH		DFND	01, 02	26890	0	0
DAVITA INC	COM	23918K108	264	4700	SH	Call	DFND	01, 02	4700	0	0
DAVITA INC	COM	23918K108	3190	56700	SH	Put	DFND	01, 02	56700	0	0
DECKERS OUTDOOR CORP 	COM	243537107	8763	49800	SH	Call	DFND	01, 02	49800	0	0
DECKERS OUTDOOR CORP 	COM	243537107	14887	84600	SH	Put	DFND	01, 02	84600	0	0
DEERE & CO 	COM	244199105	832	5022	SH		DFND	01, 02	5022	0	0
