COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
nameOfIssuer	titleOfClass	cusip	value (x$1000)	sshPrnamt	sshPrnamtType	putCall	investmentDiscretion	otherManager	Sole	Shared	None
COLONY CAPITAL INC NEW	CL A COM	19626G108	1313	262568	SH		SOLE		262568	0	0
CRITEO S A	SPONS ADS	226718104	8644	502269	SH		SOLE		502269	0	0
ENDURANCE INTL GROUP HLDGS I	COM	29272B105	69760	14533400	SH		SOLE		14533400	0	0
GOLDMAN SACHS GROUP INC	COM	38141G104	110117	538207	SH		SOLE		538207	0	0
L BRANDS INC	COM	501797104	43277	1658109	SH		SOLE		1658109	0	0
PURE STORAGE INC	CL A	74624M102	458	30000	SH		SOLE		30000	0	0
RE MAX HLDGS INC	CL A	75524W108	1215	39501	SH		SOLE		39501	0	0
REALOGY HLDGS CORP	COM	75605Y106	59311	8192106	SH		SOLE		8192106	0	0
SHUTTERFLY INC	COM	82568P304	49265	974573	SH		SOLE		974573	0	0
STAMPS COM INC	COM NEW	852857200	50911	1124600	SH		SOLE		1124600	0	0
